,CD_GEOCODM,NM_MUNICIP,uf
2611,3301009,CAMPOS DOS GOYTACAZES,33
2638,3301306,CASIMIRO DE ABREU,33
2639,3301702,DUQUE DE CAXIAS,33
2664,3301900,ITABORAÍ,33
2667,3302007,ITAGUAÍ,33
2680,3302254,ITATIAIA,33
2689,3302270,JAPERI,33
2694,3302403,MACAÉ,33
2706,3302502,MAGÉ,33
2722,3302601,MANGARATIBA,33
2738,3302700,MARICÁ,33
2753,3302858,MESQUITA,33
2755,3303203,NILÓPOLIS,33
2759,3303302,NITERÓI,33
2836,3303401,NOVA FRIBURGO,33
2837,3303500,NOVA IGUAÇU,33
2847,3303609,PARACAMBI,33
2852,3303906,PETRÓPOLIS,33
2867,3303955,PINHEIRAL,33
2868,3304003,PIRAÍ,33
2870,3304144,QUEIMADOS,33
2874,3304300,RIO BONITO,33
2878,3304524,RIO DAS OSTRAS,33
3617,3304904,SÃO GONÇALO,33
3639,3305109,SÃO JOÃO DE MERITI,33
3682,3305208,SÃO PEDRO DA ALDEIA,33
3688,3305554,SEROPÉDICA,33
3695,3305604,SILVA JARDIM,33
3697,3305752,TANGUÁ,33
3698,3305802,TERESÓPOLIS,33
3722,3306107,VALENÇA,33
3723,3306305,VOLTA REDONDA,33
3781,3504107,ATIBAIA,35
3782,3505708,BARUERI,35
3788,3506003,BAURU,35
3796,3506359,BERTIOGA,35
3807,3508504,CAÇAPAVA,35
3809,3509007,CAIEIRAS,35
3815,3509205,CAJAMAR,35
3818,3509502,CAMPINAS,35
3931,3510401,CAPIVARI,35
3935,3510609,CARAPICUÍBA,35
3963,3512803,COSMÓPOLIS,35
3964,3513009,COTIA,35
3967,3513504,CUBATÃO,35
3983,3513801,DIADEMA,35
4084,3515004,EMBU,35
4127,3515707,FERRAZ DE VASCONCELOS,35
4144,3516309,FRANCISCO MORATO,35
4199,3518800,GUARULHOS,35
4355,3519071,HORTOLÂNDIA,35
4359,3519501,IBIRAREMA,35
4360,3522208,ITAPECERICA DA SERRA,35
4363,3522505,ITAPEVI,35
4367,3523107,ITAQUAQUECETUBA,35
4380,3523909,ITU,35
4383,3524402,JACAREÍ,35
4394,3525003,JANDIRA,35
4396,3525904,JUNDIAÍ,35
4404,3526407,LARANJAL PAULISTA,35
4405,3529005,MARÍLIA,35
4413,3529203,MARTINÓPOLIS,35
4414,3529401,MAUÁ,35
4449,3534401,OSASCO,35
4520,3534609,OSVALDO CRUZ,35
4521,3536505,PAULÍNIA,35
4522,3538709,PIRACICABA,35
4547,3540705,PORTO FERREIRA,35
4548,3541000,PRAIA GRANDE,35
4554,3541307,PRESIDENTE EPITÁCIO,35
4556,3543303,RIBEIRÃO PIRES,35
4560,3543402,RIBEIRÃO PRETO,35
4586,3545803,SANTA BÁRBARA D'OESTE,35
4587,3547304,SANTANA DE PARNAÍBA,35
4589,3547809,SANTO ANDRÉ,35
4645,3548500,SANTOS,35
4669,3548708,SÃO BERNARDO DO CAMPO,35
4727,3549904,SÃO JOSÉ DOS CAMPOS,35
5693,3551009,SÃO VICENTE,35
5720,3551900,SEVERÍNIA,35
5721,3552403,SUMARÉ,35
5735,3552502,SUZANO,35
5750,3552700,TABATINGA,35
5751,3552809,TABOÃO DA SERRA,35
5772,3553401,TANABI,35
5773,3554805,TREMEMBÉ,35
5774,3556503,VÁRZEA PAULISTA,35
5778,3557006,VOTORANTIM,35
5783,3557105,VOTUPORANGA,35
5784,4100400,ALMIRANTE TAMANDARÉ,41
5794,4101804,ARAUCÁRIA,41
5797,4104105,CAMPO DO TENENTE,41
5798,4104204,CAMPO LARGO,41
5804,4104253,CAMPO MAGRO,41
5806,4105805,COLOMBO,41
5810,4106902,CURITIBA,41
5936,4108304,FOZ DO IGUAÇU,41
5946,4111258,ITAPERUÇU,41
5948,4112702,JATAIZINHO,41
5949,4118204,PARANAGUÁ,41
5956,4119905,PONTA GROSSA,41
5975,4128104,UMUARAMA,41
5976,4202008,BALNEÁRIO CAMBORIÚ,42
5977,4202107,BARRA VELHA,42
5978,4202404,BLUMENAU,42
5995,4202800,BRAÇO DO NORTE,42
5996,4205407,FLORIANÓPOLIS,42
6009,4205902,GASPAR,42
6014,4208203,ITAJAÍ,42
6021,4209102,JOINVILLE,42
6031,4209409,LAGUNA,42
6036,4211306,NAVEGANTES,42
6037,4211900,PALHOÇA,42
6038,4216602,SÃO JOSÉ,42
6041,4217006,SÃO LUDGERO,42
6042,4217907,TANGARÁ,42
6043,4218707,TUBARÃO,42
6050,4300604,ALVORADA,43
6051,4302105,BENTO GONÇALVES,43
6057,4303103,CACHOEIRINHA,43
6058,4303509,CAMAQUÃ,43
6060,4304606,CANOAS,43
6071,4305108,CAXIAS DO SUL,43
6095,4306056,CRISTAL,43
6096,4306767,ELDORADO DO SUL,43
6098,4307609,ESTÂNCIA VELHA,43
6099,4309209,GRAVATAÍ,43
6102,4309308,GUAÍBA,43
6105,4312401,MONTENEGRO,43
6108,4313409,NOVO HAMBURGO,43
6127,4313656,PALMARES DO SUL,43
6128,4314100,PASSO FUNDO,43
6133,4314407,PELOTAS,43
6139,4314803,PORTÃO,43
6141,4314902,PORTO ALEGRE,43
6249,4315602,RIO GRANDE,43
6255,4318705,SÃO LEOPOLDO,43
6267,4321105,TAPES,43
6269,4321600,TRAMANDAÍ,43
6270,4323002,VIAMÃO,43
6273,5002704,CAMPO GRANDE,50
6276,5003207,CORUMBÁ,50
6281,5103403,CUIABÁ,51
6291,5108402,VÁRZEA GRANDE,51
6295,5201108,ANÁPOLIS,52
6297,5208707,GOIÂNIA,52
6304,5215231,NOVO GAMA,52
6306,5221858,VALPARAÍSO DE GOIÁS,52
