,location_ID,lowerLeft_lon,lowerLeft_lat,upperRight_lon,upperRight_lat
0,1100205,-63.922228919604834,-8.818669469848999,-63.80198277800338,-8.717207243542362
1,1200203,-72.68678814382008,-7.643844758488854,-72.66652371513794,-7.63069000500981
2,1200401,-67.8472967526472,-10.027615653300415,-67.77763187331692,-9.95579751014833
3,1300060,-68.21536977542792,-3.378907421216809,-68.18337577819995,-3.36346934899575
4,1300102,-61.65960692743141,-3.7543451872483615,-61.65003101571125,-3.74538558611889
5,1300409,-62.98003339878676,-1.0078902194956072,-62.92522827635139,-0.9315754706935877
6,1300508,-57.0677504898938,-2.8035563611538805,-57.05130571262828,-2.7884634775059567
7,1300607,-70.03830287897796,-4.378858566479266,-69.9972734373884,-4.371077619691221
8,1300706,-67.3995777566805,-8.79872103594829,-67.28693171968797,-8.741005777573207
9,1301001,-66.8966352816837,-4.882313219890477,-66.8827463111034,-4.859479180857022
10,1301209,-63.16705263714272,-4.113638278344467,-63.12852725162378,-4.08421915877588
11,1301308,-62.06948956355467,-3.84304593273892,-62.06274378678438,-3.832644675017832
12,1301407,-69.86707131259078,-6.678607931889246,-69.8158911908809,-6.630231879179632
13,1301506,-70.0304125429825,-7.43981754396838,-70.01583099242913,-7.425579506123825
14,1301654,-72.5824305383396,-7.547838035449217,-72.54925150468301,-7.5286787818102425
15,1301803,-71.6944180603084,-7.056666568728417,-71.6801898810113,-7.036313473189409
16,1301852,-60.371455826885324,-3.282147092396997,-60.079130490796956,-3.080640523485613
17,1301902,-58.44330100988816,-3.1486962629959407,-58.4401754367571,-3.14037880391635
18,1302405,-64.80680517028532,-7.2684632351576965,-64.78045077653701,-7.238406940556445
19,1302504,-60.652140248694195,-3.3075742779384996,-60.59907130430861,-3.256410235207227
20,1302603,-60.06447799975086,-3.143454999820051,-59.87731467741526,-2.9336650203123327
21,1303205,-60.95987056914754,-2.6303183434674793,-60.946604141091996,-2.62012045253789
22,1303403,-56.74894704985053,-2.6510467449750195,-56.72021509686965,-2.622885715792563
23,1303700,-67.97524214122757,-3.1170935913598896,-67.93433341653332,-3.0790124061722395
24,1304062,-69.95226597070734,-4.235026128147865,-69.93753426018236,-4.221395026808068
25,1304203,-64.72562012504721,-3.362530931639185,-64.70021711058388,-3.341834770826381
26,1304237,-67.7890460505264,-2.86820911376941,-67.76926554163225,-2.852473731081375
27,1400100,-60.72545743846206,2.7814390833715947,-60.66549965045982,2.87001035756316
28,1500305,-50.3914275892332,-0.16424000995499455,-50.378732840948715,-0.15300918202433422
29,1500503,-52.58752992043736,-1.5347480397925892,-52.5768350868127,-1.52733880276478
30,1500602,-52.22500351033909,-3.20565951,-52.19529892709369,-3.1790210402965045
31,1500800,-48.44006631909656,-1.4086990003140158,-48.33855110473593,-1.3059280491140726
32,1501303,-48.76628112017909,-1.575441990198442,-48.62185811955413,-1.505767005
33,1501402,-48.50808881426872,-1.4809807124959775,-48.384250999916844,-1.232153000111964
34,1501501,-48.2495860956688,-1.361437515,-48.239082285961786,-1.3399805054341982
35,1502103,-49.51730015975636,-2.2653250201977926,-49.490692572682576,-2.2282657948865676
36,1504208,-49.1576819997195,-5.404715133355978,-49.05743300019924,-5.315577000301573
37,2111300,-44.338497120103796,-2.6284179600070274,-44.188080120167115,-2.4802489998435817
38,2112209,-42.91489963774103,-5.151960465680531,-42.80659730567584,-5.0752246740894975
39,2927408,-38.52937909207168,-13.0147719115328,-38.34532201723346,-12.818496857705327
40,3516408,-46.748134000359414,-23.33072111441112,-46.6914649997434,-23.301890000384617
41,3518701,-46.312012000070695,-24.009904000113977,-46.18123499985359,-23.924321000355974
42,3550308,-46.80631000029581,-23.868779797228797,-46.36508400035251,-23.396436999664218
43,5300108,-48.191961052783086,-16.04471287323622,-47.64526260571296,-15.564480556433068
44,1504422,-48.36384086307953,-1.4069122776682548,-48.27718124445073,-1.3321993769831693
45,1505536,-49.91774111966345,-6.108080560898259,-49.88055882932713,-6.046480534428156
46,1506807,-54.757222683045256,-2.492681526151557,-54.670693364487306,-2.4199097311276887
47,1508100,-49.70319475004925,-3.8516206387333796,-49.657948869500956,-3.7338656290456242
48,1600105,-50.7932144702699,1.6745549200610412,-49.929129326251314,2.05392124468205
49,1600212,-50.80909638785505,0.9680455418446741,-50.79979325759342,0.9763648102089064
50,1600279,-52.5445904870308,-0.8592243119652494,-52.50891839760135,-0.8235601806364343
51,1600303,-51.140835000209336,-0.05671547992920978,-50.041606653818235,0.8791808395593534
52,1600600,-51.262767013584835,-0.0734817635533318,-51.148182960312454,-0.009116999931904957
53,1600808,-52.439544600033685,-0.9436115659585198,-52.40439458862596,-0.9158069362975993
54,1702109,-48.27477100025834,-7.248705992623798,-48.15817776084839,-7.138008431446735
