location,RF_min_split,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
3106200,10,0.22138098266618,0.2961176754280202,0.211961681194442,0.1409469153515064,0.9484836595908704,0.5447152874711884,0.9489154471988642,0.2470700668980433,275599,5838,9131,2456
3118601,10,0.2936209039275769,0.315947242206235,0.3301487862176977,0.1925289980820166,0.9430949254653588,0.5678119617736876,0.9438566856330014,0.3228919353603431,146523,4564,4277,2108
3171204,10,0.3668792576810444,0.3990014562096942,0.5075416776925112,0.2876424715056989,0.8497501107104447,0.5686962911080717,0.8583442681617559,0.4467738178430002,26864,2889,1861,1918
3300704,10,0.4400437077911437,0.4182157711569476,0.5680193682268849,0.3172977846470891,0.9179819267786958,0.6176398557128925,0.9209935981040251,0.4817404057687607,118651,6854,3747,4927
3510609,50,0.128892258645603,0.1025089605734767,0.5209471766848816,0.0936783491647559,0.8508838111661996,0.4722810801654777,0.8531472242861692,0.1713087750823599,15789,2504,263,286
3513801,10,0.231112461869959,0.2707774798927614,0.283867341202923,0.1608792609111181,0.911894567835162,0.53638691437314,0.91335811321996,0.2771679473106476,27262,1360,1274,505
3518800,10,0.2970588227294028,0.3148109894649866,0.3518817824982683,0.1992677824267782,0.9316727566874008,0.5654702695570895,0.9328151484067734,0.332315743567379,167007,6634,5614,3048
3523107,10,0.3025289431065873,0.4521926671459382,0.2632900795311846,0.1996191685179308,0.9367555232339444,0.5681873458759377,0.9377376191181552,0.3328042328042328,37355,762,1760,629
3529401,10,0.2897152004024388,0.3091013165426445,0.4118993135011441,0.2144559173947577,0.8781006378454996,0.5462782776201287,0.8820266603047744,0.3531720078482668,28497,2414,1542,1080
3534401,50,0.150187680639335,0.1348741954359274,0.5035499726925178,0.1190445448676565,0.8218770395509725,0.4704607922093145,0.8260636806281387,0.2127610476520134,31482,5914,909,922
3552809,50,0.1865381393727276,0.2244224422442244,0.4657534246575342,0.1784776902887139,0.7609957238851558,0.4697367070869348,0.7727932636469221,0.3028953229398664,4983,1175,390,340
3556503,10,0.3813847800683613,0.3873159682899207,0.5205479452054794,0.2854757929883139,0.879147253988423,0.5823115234883685,0.8847138047138047,0.4441558441558441,6227,541,315,342
1200203,10,0.4697801058177114,0.4859437751004016,0.8581560283687943,0.449814126394052,0.7111255692908263,0.5804698478424392,0.7663157894736842,0.6205128205128205,1093,384,60,363
1200401,10,0.5415368050718269,0.5741507870753936,0.6662180349932705,0.445888560030884,0.8592028250989111,0.6525456925648976,0.8735314849624061,0.6167675329298683,26277,2570,1736,3465
1300508,1,0.625659327093574,0.8131868131868132,0.6678700361010831,0.5790297339593115,0.8030746705710102,0.6910522022651608,0.8450460829493087,0.7333994053518335,1097,85,184,370
1300706,10,0.5228818286266752,0.5549861637798503,0.6915708812260536,0.4448734801183043,0.8276187560589826,0.6362461180886434,0.8485419048259476,0.6157957582305111,32441,4342,2415,5415
1301407,10,0.6253271438493183,0.6310257339615802,0.7402210884353742,0.5166172106824926,0.8932783018867925,0.7049477562846425,0.9042046456924434,0.681275679906085,13635,1018,611,1741
1301506,10,0.4106644096487515,0.4340425531914894,0.5666666666666667,0.3258785942492013,0.8474331164135936,0.5866558553313974,0.857912457912458,0.491566265060241,1172,133,78,102
1301654,10,0.5020706814518792,0.5021607605877269,0.7565104166666666,0.4322916666666667,0.8065906210392902,0.6194411438529784,0.8314184710561202,0.6036363636363636,3182,576,187,581
1301803,1,0.606660017446515,0.8014388489208633,0.7023959646910467,0.59828141783029,0.7498327759197324,0.6740570968750113,0.817738791423002,0.7486559139784946,1121,138,236,557
1302405,10,0.4717525702630929,0.5015576323987538,0.678609062170706,0.4052863436123348,0.8049132947976878,0.6050998192050113,0.8278061224489796,0.5768025078369906,3899,640,305,644
1303403,10,0.4422613236213649,0.4777227722772277,0.561046511627907,0.3477477477477477,0.8616207951070336,0.6046842714273907,0.8711285154859381,0.516042780748663,4508,422,302,386
1702109,10,0.4284104009206232,0.4832692671245825,0.566521385831425,0.3528085752403735,0.8283385396329559,0.5905735574366647,0.8430278617734682,0.521594232469564,67884,8200,5868,7669
3101508,10,0.4104591112561155,0.4244031830238727,0.6269592476489029,0.338839474798814,0.817937951947749,0.5783887133732815,0.8334755707275443,0.506168933881683,7013,1085,476,800
3106705,10,0.3716409147701627,0.326556543837357,0.4632717440288418,0.2369209495275409,0.9766732422150204,0.6067970958712806,0.9768409714061888,0.3830817961617291,138629,2120,1191,1028
3107802,10,0.4002227447995575,0.411522633744856,0.390625,0.2506265664160401,0.9988421668131706,0.6247343666146054,0.9988426149933616,0.4008016032064128,257942,143,156,100
3111200,10,0.7471358428805237,0.6428571428571429,0.9,0.6,0.9941234084231146,0.7970617042115573,0.9941747572815534,0.75,1015,5,1,9
3113404,10,0.3802954583227055,0.4813409234661606,0.5726109857035365,0.354118194509074,0.7480486476674533,0.5510834210882636,0.7786283891547049,0.5230240549828179,4121,820,568,761
3119401,10,0.3038291190927141,0.341110065851364,0.475977946967708,0.2479824921351388,0.8237764030898426,0.5358794476124907,0.8334545013934327,0.3974134151687856,25701,3502,1996,1813
3124104,10,0.3242293061095178,0.2576086956521739,0.4575289575289575,0.1973355537052456,0.9883550970609908,0.5928453253831182,0.9883883401589978,0.3296244784422809,81819,683,281,237
3129806,10,0.3726663283954458,0.3647058823529411,0.5344827586206896,0.2767857142857143,0.8807537540484837,0.578769734167099,0.885958325511545,0.4335664335664335,8974,810,405,465
3131703,10,0.3019269724198826,0.2808022922636103,0.4242424242424242,0.2033195020746888,0.927437641723356,0.5653785718990224,0.928756957328386,0.3379310344827586,4908,251,133,98
3135209,10,0.2799486594409583,0.2407407407407407,0.5,0.1940298507462686,0.9014598540145984,0.5477448523804336,0.9037433155080212,0.325,494,41,13,13
3136702,10,0.1529531865526034,0.4102564102564102,0.0948616600790513,0.0834782608695652,0.9962671237728258,0.5398726923211955,0.9962683925056292,0.1540930979133226,140651,69,458,48
3139409,50,0.1041422887900772,0.074074074074074,0.5882352941176471,0.0704225352112676,0.8647540983606558,0.4675883167859617,0.8661257606490872,0.131578947368421,844,125,7,10
3139508,10,0.4358420121831401,0.4412698412698412,0.6205357142857143,0.3475,0.8472791105909889,0.5973895552954944,0.8587662337662337,0.5157699443413729,1448,176,85,139
3143302,50,0.1370397906782492,0.1020819341840161,0.3534883720930232,0.086021505376344,0.9397095606077576,0.5128655329920507,0.9400497420097256,0.1584158415841584,25172,1337,278,152
3147105,10,0.5016125031009675,0.5303030303030303,0.660377358490566,0.4166666666666667,0.8384171475680132,0.6275419071173399,0.8551367331855136,0.5882352941176471,1017,124,72,140
3147907,10,0.4382636978290653,0.3755656108597285,0.6974789915966386,0.3229571984435798,0.894927536231884,0.6089423673377319,0.8999424956871765,0.488235294117647,1482,138,36,83
3154606,10,0.1976177585273416,0.2884615384615384,0.1623376623376623,0.115919629057187,0.9782169922693172,0.5470683106632521,0.97827903091061,0.2077562326869806,77061,555,1161,225
