,location,RF_min_split,half,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
0,3106200,50,0,0.04790932123259569,0.07294892730446534,0.37985632605189856,0.06518566971923116,0.7414175858589374,0.40330162778908424,0.7459975664110031,0.12239306549516994,213076,65854,8460,5182
0,3106200,50,1,0.0755074084501777,0.07873823950309046,0.2712966848510281,0.06499283721631607,0.8721058548105979,0.468549346013457,0.8732328136979299,0.12205309734513274,253686,30257,6946,2586
0,3118601,500,0,0.13669550197632632,0.11422733282583437,0.5108403511915427,0.10296507638412367,0.8393620530199649,0.4711635647020443,0.842270371875635,0.18670595939751147,129783,22108,2730,2851
0,3118601,500,1,0.0645455575430676,0.07792076326411823,0.8564673157162725,0.07691635128214737,0.5115917892594208,0.2942540702707841,0.5306911704938021,0.14284554448555423,77411,72871,1032,6158
0,3171204,1000,0,0.024010044304871515,0.13693833884458276,0.5076923076923077,0.12088603972296949,0.5085277271127324,0.31470688341785097,0.5396397206486228,0.2156972884644845,15892,13311,2048,2112
0,3171204,10,1,0.060580968124490535,0.14323654390934845,0.23808122424955858,0.09821536967342478,0.7741631449332644,0.4361892573033446,0.7795845697329377,0.17886358611541012,25463,4839,2589,809
0,3300704,500,0,0.08806895392710687,0.0928051267113312,0.7497646689676812,0.0900169523450744,0.6266537867078825,0.3583353695264785,0.6399511100842904,0.16516615113445887,81089,46716,1595,4779
0,3300704,100,1,0.09844654002484922,0.13506732083249323,0.5493394077448747,0.1215940947502168,0.6601326570425283,0.39086337589637254,0.6754037517048123,0.2168237071135726,84596,38608,4946,6029
0,3510609,100,0,0.035727905122462704,0.05578512396694215,0.2096273291925466,0.04609081597814954,0.8496879707338068,0.44788939335597816,0.8507717780270256,0.0881201044386423,15794,2285,509,135
0,3510609,1000,1,0.027414972197591612,0.03761880940470235,0.8281938325991189,0.03732750918296436,0.4782070598364184,0.2577672845096914,0.4885548523206751,0.0719686094363097,8887,9619,78,376
0,3513801,50,0,0.06569866076442367,0.10991658943466172,0.28332537028189203,0.08600435097897027,0.7885802469135802,0.43729229894627525,0.7927041873622578,0.15838675213675213,23506,4802,1500,593
0,3513801,100,1,0.1159253765487732,0.11518595041322315,0.4566552901023891,0.10130224106602059,0.8003834252657069,0.45084283316586377,0.8047761586789908,0.18396810119620513,23797,5139,796,669
0,3518800,500,0,0.09754370817704773,0.09011635088066006,0.5437472052466835,0.08378117679481879,0.7763563588254421,0.4300687678101304,0.7808383233532934,0.15460902733630005,138488,36833,3061,3648
0,3518800,500,1,0.06721492425577918,0.09247644823817207,0.6695873374788016,0.08844062270560858,0.5825335673741081,0.33548709503985835,0.5987840613446529,0.16250886058582764,102216,69745,3507,7107
0,3523107,500,0,0.031743871568202665,0.08372123516685243,0.46948529411764706,0.07648538572113081,0.6069489408345866,0.3417171632778587,0.6193403446403002,0.1421020419518166,23810,13976,1443,1277
0,3523107,50,1,0.022338088079723935,0.06602073005858494,0.1423712342079689,0.04723520876995002,0.853032601397558,0.450133905083754,0.8540956895274774,0.09020935960591132,34303,4145,1765,293
0,3529401,50,0,0.07451021935244728,0.1003666983566481,0.3836967808930426,0.0864327485380117,0.7608535913293736,0.42364316993369266,0.7661447262058022,0.15911292927118095,24851,6624,1187,739
0,3529401,10,1,0.08655623644494827,0.16670547147846332,0.21585770274344288,0.10382830626450117,0.8124317105742382,0.4581300084193697,0.816421102661597,0.1881240147136101,26768,3579,2601,716
0,3534401,100,0,0.03373039911673135,0.07135769057284619,0.38138862102217935,0.06395536869340233,0.6973016786069132,0.38062852365015776,0.7034352025001921,0.12022190136028574,26669,10294,1283,791
0,3534401,500,1,0.05630707531282074,0.06995149348991575,0.5179584120982986,0.06567593480345159,0.69699953360626,0.3813377342048558,0.7033184493606657,0.12325686009896536,26900,10929,765,822
0,1200401,1000,0,0.10455477896158115,0.24063897763578274,0.5926042486231314,0.20648061845495916,0.5220593091605574,0.3642699638077583,0.5749236372180451,0.34228584412633495,15809,11884,2589,3766
0,1200401,50,1,0.03390112778007768,0.13662851927262515,0.4807312252964427,0.11905781584582441,0.5514609681639773,0.33525939200490085,0.5770970394736842,0.2127822426329889,17703,12297,2102,1946
0,1301407,50,0,0.04846703613012984,0.15049751243781095,0.1897543125980136,0.09162039374053509,0.7837399351039539,0.4376801644222445,0.7883563657747721,0.16786127167630058,13043,2049,1550,363
0,1301407,1000,1,0.04025658292253121,0.3390804597701149,0.042278753135077035,0.039059913935782856,0.828092615621484,0.4335762647786334,0.8292855042634519,0.07518317935648296,13984,230,2673,118
0,1702109,500,0,-0.00890469388776138,0.08707549043405345,0.48110217020238966,0.07959978213947108,0.4674409104172746,0.27352034627837285,0.4908894120797581,0.14746164913395243,40048,41371,4256,3946
0,1702109,100,1,0.042844232351080154,0.23442455822383326,0.43863925392115305,0.18032501198100467,0.5374156350269845,0.3588703235039946,0.580143046830542,0.30555145430385355,43715,27034,10594,8278
0,3119401,500,0,0.032503012025664156,0.11190601701935386,0.4743057772103415,0.09955781857162,0.5736852122057984,0.3366215153887092,0.5928753180661578,0.18108700950524007,18086,11793,1647,1486
0,3119401,1000,1,0.02266590189969694,0.14746847976764144,0.49810479375696765,0.12839080459770114,0.5072454350510105,0.3178181198243558,0.5405913001332848,0.22756442905164512,15612,12915,2251,2234
0,3129806,50,0,0.19395579793541798,0.2066167290886392,0.41271820448877805,0.1596719729860106,0.8300653594771242,0.49486866623156744,0.8353808353808354,0.2753743760399334,8509,1271,471,331
0,3129806,100,1,0.10393497083210616,0.14225838264299803,0.615795090715048,0.13066123188405798,0.6216988569176193,0.37618004440083863,0.642051282051282,0.2311235730022031,6309,3479,360,577
0,3143302,1000,0,0.004675065981466991,0.019835735316906866,0.27292110874200426,0.018840153076243746,0.7513707060534855,0.38510542956486465,0.7525520620661494,0.03698353077145334,20145,6325,341,128
0,3143302,50,1,0.005504594621475562,0.017959770114942528,0.0639386189258312,0.01422070534698521,0.935609719848406,0.4749152125976956,0.9356694754816437,0.028042624789680313,25181,1367,366,25
0,3154606,100,0,0.07681694736383485,0.07256778309409888,0.20611551528878821,0.05671548769086943,0.9230143187771815,0.4898649032340255,0.9233690286321865,0.1073429666764966,72584,4652,1402,364
0,3154606,50,1,0.026130445001093246,0.026888055704338512,0.24925521350546176,0.024873649786938856,0.8750492057243717,0.4499614277556553,0.8754461912356649,0.04853993424869464,68911,9084,756,251
0,3156700,10,0,0.0076255238998680815,0.11013215859030837,0.010254306808859722,0.00946969696969697,0.9292975720542909,0.46938363451199394,0.929345329766826,0.01876172607879925,34371,202,2413,25
0,3156700,10,1,-0.0006196638888395998,0.014534883720930232,0.008802816901408451,0.005512679162072767,0.9756255742312058,0.49056912669663927,0.9756288670935668,0.010964912280701754,36104,339,563,5
0,3168705,1000,0,-0.02293926888250195,0.1429739776951673,0.3200998751560549,0.10966950868288232,0.5733338799382336,0.34150169431055794,0.5946381045115222,0.19766157008865476,41956,23054,8169,3846
0,3168705,1000,1,-0.0025458160521388403,0.06329512781125685,0.3213357328534293,0.05583156724455408,0.6412077683746353,0.3485196678095947,0.6486619263089851,0.10575847318196775,48567,23782,3394,1607
0,3300209,500,0,0.05714562841897218,0.047692814127761746,0.8207264245251583,0.047201088518809525,0.6884778535937393,0.3678394710562744,0.6932123904726645,0.09014713417758582,109879,49180,538,2463
