,location,half,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
0,3106200,0,0.13282944979392242,0.14030803906836964,0.2789811771735883,0.10296915060789016,0.8850186405639875,0.4939938955859388,0.8865164620535714,0.1867126574685063,250447,22885,9653,3735
0,3106200,1,0.06769055721344745,0.14753675522311066,0.060280324586363156,0.04470845708926059,0.9572878370633379,0.5009981470762992,0.957373046875,0.08559030375579829,273926,3305,8917,572
0,3550308,0,0.13716681855979967,0.21495551815340225,0.12237857964189892,0.08457739683260487,0.9600830664283911,0.522330231630498,0.9602297387941919,0.15596378290678808,1163661,16325,32056,4470
0,3550308,1,0.16585705450079768,0.15059057033332685,0.34142144968456345,0.11669355689922949,0.9024507216281971,0.5095721392637133,0.9036918665824916,0.20899835264252342,1083874,87304,29856,15478
0,5103403,0,-0.035111271608742986,0.06292262794504946,0.18455114822546972,0.04923419660261766,0.6976443499822883,0.37343927329245297,0.7023053850446429,0.0938478687828441,39389,13165,3906,884
0,5103403,1,-0.051643873237932285,0.09023255813953489,0.1332051634166438,0.0568514828273356,0.7145492602973001,0.38570037156231785,0.7193777901785714,0.10758651286601598,40282,9780,6312,970
0,5300108,0,-0.003699523973024577,0.0,0.0,0.0,0.9872965494791667,0.49364827473958334,0.9872965494791667,0.0,1698466,3848,18006,0
0,5300108,1,0.02882419351674492,0.06894586894586895,0.023231256599788808,0.017683595177201316,0.9843671140736675,0.5010253546254344,0.9843715122767858,0.034752638759244635,1692950,6536,20350,484
