location,xsize,ysize,pixels_slum,proportion_slums,NM_MUNICIP,CD_UF,SG_UF,Name_UF,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage,RME_DS,RME_CD,RME_NM,metropolitan,left_half_slums,left_half_slum_discounting_border,right_half_slums,right_half_slum_discounting_border,proportion_slums_left,proportion_slums_right
3552809,112,123,1461,0.1060540069686411,TABOÃO DA SERRA,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",Taboão da Serra,36.0,São Paulo,1.0,757,0,704,0,0.11080210772833723,0.10138248847926268
3556503,99,150,1315,0.0885521885521885,VÁRZEA PAULISTA,35,SP,São Paulo,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}",,,,0.0,1107,171,208,0,0.14909090909090908,0.028013468013468015
1200203,50,76,847,0.2228947368421052,CRUZEIRO DO SUL,12,AC,Acre,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}",,,,0.0,289,0,558,0,0.15210526315789474,0.29368421052631577
1200401,266,256,10403,0.1527696193609022,RIO BRANCO,12,AC,Acre,2010-09-09 00:00:00,LT50020672010252COA01,LT05_L2SP_002067_20100909_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-69.31278, -11.0243], [-69.31278, -9.1907], [-67.29698, -9.1907], [-67.29698, -11.0243], [-69.31278, -11.0243]]]}","{'type': 'Polygon', 'coordinates': [[[-69.31278, -10.78085], [-67.6386, -11.0243], [-67.29698, -9.433], [-68.96318, -9.1907], [-69.31278, -10.78085]]]}",,,,0.0,6355,2392,4048,2845,0.18664826127819548,0.11889097744360902
1300508,56,62,1109,0.3194124423963134,BARREIRINHA,13,AM,Amazonas,2010-08-14 00:00:00,LT52290622010226CUB01,LT05_L2SP_229062_20100814_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.81751], [-58.46063, -1.98643], [-56.47463, -1.98643], [-56.47463, -3.81751], [-58.46063, -3.81751]]]}","{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.57783], [-56.81249, -3.81751], [-56.47463, -2.22579], [-58.12053, -1.98643], [-58.46063, -3.57783]]]}",,,,0.0,574,0,535,0,0.33064516129032256,0.30817972350230416
1300706,215,415,15660,0.1755113477164472,BOCA DO ACRE,13,AM,Amazonas,2010-08-24 00:00:00,LT50020662010236CUB00,LT05_L2SP_002066_20100824_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-68.9851, -9.5974], [-68.9851, -7.76453], [-66.9779, -7.76453], [-66.9779, -9.5974], [-68.9851, -9.5974]]]}","{'type': 'Polygon', 'coordinates': [[[-68.9851, -9.355], [-67.31819, -9.5974], [-66.9779, -8.00594], [-68.638, -7.76453], [-68.9851, -9.355]]]}",,,,0.0,1537,0,14123,11010,0.03453544545556679,0.31580948121645797
1301407,179,190,4704,0.1383122610996765,EIRUNEPÉ,13,AM,Amazonas,2010-09-16 00:00:00,LT50030652010259CUB00,LT05_L2SP_003065_20100916_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-70.23595, -8.1481], [-70.23595, -6.31586], [-68.2361, -6.31586], [-68.2361, -8.1481], [-70.23595, -8.1481]]]}","{'type': 'Polygon', 'coordinates': [[[-70.23595, -7.90662], [-68.57533, -8.1481], [-68.2361, -6.55653], [-69.89107, -6.31586], [-70.23595, -7.90662]]]}",,,,0.0,1913,480,2791,619,0.1124963246104087,0.16412819758894442
1301506,54,55,360,0.1212121212121212,ENVIRA,13,AM,Amazonas,2010-09-16 00:00:00,LT50030652010259CUB00,LT05_L2SP_003065_20100916_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-70.23595, -8.1481], [-70.23595, -6.31586], [-68.2361, -6.31586], [-68.2361, -8.1481], [-70.23595, -8.1481]]]}","{'type': 'Polygon', 'coordinates': [[[-70.23595, -7.90662], [-68.57533, -8.1481], [-68.2361, -6.55653], [-69.89107, -6.31586], [-70.23595, -7.90662]]]}",,,,0.0,23,0,337,0,0.01577503429355281,0.22288359788359788
1301654,73,124,1536,0.1696862571807335,GUAJARÁ,13,AM,Amazonas,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}",,,,0.0,310,0,1226,0,0.0684931506849315,0.2708793636765356
1301803,76,54,1586,0.3864522417153996,IPIXUNA,13,AM,Amazonas,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}",,,,0.0,529,0,1057,0,0.2577972709551657,0.5151072124756335
